Id,Timestamp,Version,Provider,Collection
5c6fee8287a6c928b9d94983,1550839401,1,corva,torque-and-drag.hookload-trend
Activity,hole_depth
In Slips,26052

Id,hole_size,type,outer_diameter
5c6cad79b337d74f5029f673,8.5,CasingString,5.5


start_timestamp
1550626339
start_timestamp,end_timestamp
1550626339,1550839401


Curves Slack Off Casing Friction Factor,Curves Slack Off Openhole Friction Factor
1550677480,11634,93.1,0,0.1,0,141
1550677587,11682,94.1,0,0.1,0,84
1550677824,11723.6,93.9,0,0.1,0,156
1550677937,11767.4,94.05,0,0.1,0,144
1550678050,11810.45,93.1,0,0.1,0,150
1550678178,11855.9,93.55,0,0.1,0,150
1550678272,11898,92.6,0,0.1,0,159
1550678383,11944.75,93.1,0,0.1,0,162
1550678480,11988.65,91.9,0,0.1,0,156
1550678581,12035.65,92.15,0,0.1,0,144
1550678681,12076.65,94.35,0,0.1,0,144
1550678786,12122,91.3,0,0.1,0,150
1550678897,12164.2,91.5,0,0.1,0,162
1550679002,12209.3,91.1,0,0.1,0,153
1550679112,12253.5,91.8,0,0.1,0,132
1550679238,12297.65,92.4,0,0.1,0,138
1550679344,12339.8,90.9,0,0.1,0,135
1550679449,12388,90.7,0,0.1,0,147
1550679572,12431.65,91.55,0,0.1,0,138
1550679677,12490.1,93.8,0,0.1,0,36
1550679850,12520.7,91.3,0,0.1,0,156
1550679963,12564.2,89.65,0,0.1,0,144
1550680074,12609.5,91.8,0,0.1,0,141
1550680266,12625.9,92.7,0,0.1,0,147
1550680374,12670.6,92,0,0.1,0,150
1550680479,12713.65,91.8,0,0.1,0,138
1550680592,12759.7,89.9,0,0.1,0,147
1550680697,12803.15,90.7,0,0.1,0,144
1550680816,12845.45,91.25,0,0.1,0,144
1550680923,12891.2,90.7,0,0.1,0,159
1550681026,12937.7,89,0,0.1,0,153
1550681129,12981.1,89.4,0,0.1,0,156
1550681241,13025.15,91.55,0,0.1,0,138
1550681338,13071.1,89.2,0,0.1,0,153
1550681440,13114.95,89.85,0,0.1,0,144
1550681541,13159.2,89.1,0,0.1,0,153
1550681643,13203.6,89.6,0,0.1,0,150
1550681758,13248,90,0,0.1,0,147
1550681865,13292.2,90,0,0.1,0,153
1550681995,13335.75,90,0,0.1,0,144
1550682104,13381.15,88.75,0,0.1,0,150
1550682250,13426.4,89.7,0,0.1,0,156
1550682440,13467.1,88.6,0,0.1,0,159
1550682552,13512.9,88.1,0,0.1,0,153
1550682664,13555.4,87.8,0,0.1,0,156
1550682788,13601.1,88.6,0,0.1,0,150
1550682911,13643.1,88.8,0,0.1,0,159
1550683122,13688.95,87.3,0,0.1,0,150
1550683238,13734.5,87.75,0,0.1,0,138
1550683340,13773.65,88.7,0,0.1,0,150
1550683452,13820.7,87.1,0,0.1,0,144
1550683552,13864.6,88.4,0,0.1,0,150
1550683679,13908.9,88.7,0,0.1,0,156
1550683794,13953.85,88.4,0,0.1,0,150
1550683901,13996.7,87.6,0,0.1,0,156
1550684009,14042.3,86.6,0,0.1,0,144
1550684116,14088.85,85.65,0,0.1,0,138
1550684232,14130.2,86.8,0,0.1,0,159
1550684351,14175.9,87.6,0,0.1,0,156
1550684455,14220.1,87.5,0,0.1,0,147
1550684572,14262.9,86.9,0,0.1,0,153
1550684673,14306.95,87.25,0,0.1,0,144
1550684784,14352.3,87.9,0,0.1,0,147
1550684883,14397.4,86.3,0,0.1,0,150
1550684983,14440.4,88.1,0,0.1,0,153
1550685083,14485.75,87.35,0,0.1,0,150
1550685185,14530,86.6,0,0.1,0,147
1550685326,14574.45,84.85,0,0.1,0,150
1550685430,14617,84.5,0,0.1,0,159
1550685533,14664,85.7,0,0.1,0,156
1550685712,14706.9,85.15,0,0.1,0,144
1550685815,14751.7,84.6,0,0.1,0,153
1550685916,14793.7,86.85,0,0.1,0,144
1550686022,14837.3,85.7,0,0.1,0,156
1550686133,14883.8,85.1,0,0.1,0,156
1550686241,14927,83.85,0,0.1,0,150
1550686340,14972.3,83.8,0,0.1,0,153
1550686438,15015.2,84.3,0,0.1,0,153
1550686535,15060.3,84.3,0,0.1,0,147
1550686634,15103.65,83.55,0,0.1,0,150
1550686741,15149.85,83.6,0,0.1,0,144
1550686869,15198.4,84.85,0,0.1,0,114
1550686973,15233,83,0,0.1,0,126
1550687073,15281.6,85.4,0,0.1,0,114
1550687177,15327.1,82.85,0,0.1,0,144
1550687276,15370.5,82.3,0,0.1,0,150
1550687379,15413.75,86.35,0,0.1,0,78
1550687400,15433.1,82.85,0,0.1,0,72
1550687504,15460.05,84.25,0,0.1,0,114
1550687608,15505.3,81.7,0,0.1,0,138
1550687800,15544.8,83.4,0,0.1,0,120
1550687932,15586.3,83.55,0,0.1,0,126
1550688036,15634.9,81.3,0,0.1,0,156
1550688177,15679.8,82.2,0,0.1,0,108
1550688279,15722.6,80.9,0,0.1,0,135
1550688411,15766.6,83.4,0,0.1,0,129
1550688516,15808.7,83.8,0,0.1,0,117
1550688633,15855.2,81.85,0,0.1,0,114
1550688736,15883.4,85.5,0,0.1,0,36
1550688842,15904.6,82.9,0,0.1,0,69
1550688959,15943.2,82.1,0,0.1,0,96
1550689100,15991.9,81.2,0,0.1,0,108
1550689204,16032.5,79,0,0.1,0,138
1550689316,16078.7,83.5,0,0.1,0,60
1550689340,16096.8,80.2,0,0.1,0,60
1550689438,16128.9,80.9,0,0.1,0,66
1550689572,16166.5,78.7,0,0.1,0,84
1550689761,16206.9,78.2,0,0.1,0,126
1550689870,16249.3,76.95,0,0.1,0,132
1550690008,16288.8,80.8,0,0.1,0,90
1550690122,16336.9,79.5,0,0.1,0,123
1550690240,16381.9,78.9,0,0.1,0,126
1550690350,16424.8,79.1,0,0.1,0,117
